case_id,split,group_id,data_kind
SYN-IN-0005-04,train,SYN-OFFENDER-0005,synthetic
SYN-IN-0005-05,train,SYN-OFFENDER-0005,synthetic
SYN-IN-0006-00,validation,SYN-OFFENDER-0006,synthetic
SYN-IN-0006-01,validation,SYN-OFFENDER-0006,synthetic
SYN-IN-0006-02,validation,SYN-OFFENDER-0006,synthetic
SYN-IN-0006-03,validation,SYN-OFFENDER-0006,synthetic
SYN-IN-0006-04,validation,SYN-OFFENDER-0006,synthetic
SYN-IN-0006-05,validation,SYN-OFFENDER-0006,synthetic
SYN-IN-0007-00,validation,SYN-OFFENDER-0007,synthetic
SYN-IN-0007-01,validation,SYN-OFFENDER-0007,synthetic
SYN-IN-0007-02,validation,SYN-OFFENDER-0007,synthetic
SYN-IN-0007-03,validation,SYN-OFFENDER-0007,synthetic
SYN-IN-0007-04,validation,SYN-OFFENDER-0007,synthetic
SYN-IN-0007-05,validation,SYN-OFFENDER-0007,synthetic
SYN-IN-0008-00,train,SYN-OFFENDER-0008,synthetic
SYN-IN-0008-01,train,SYN-OFFENDER-0008,synthetic
SYN-IN-0008-02,train,SYN-OFFENDER-0008,synthetic
SYN-IN-0008-03,train,SYN-OFFENDER-0008,synthetic
SYN-IN-0008-04,train,SYN-OFFENDER-0008,synthetic
SYN-IN-0008-05,train,SYN-OFFENDER-0008,synthetic
SYN-IN-0009-00,train,SYN-OFFENDER-0009,synthetic
SYN-IN-0009-01,train,SYN-OFFENDER-0009,synthetic
SYN-IN-0009-02,train,SYN-OFFENDER-0009,synthetic
SYN-IN-0009-03,train,SYN-OFFENDER-0009,synthetic
SYN-IN-0009-04,train,SYN-OFFENDER-0009,synthetic
SYN-IN-0009-05,train,SYN-OFFENDER-0009,synthetic
SYN-IN-0010-00,test,SYN-OFFENDER-0010,synthetic
SYN-IN-0010-01,test,SYN-OFFENDER-0010,synthetic
SYN-IN-0010-02,test,SYN-OFFENDER-0010,synthetic
SYN-IN-0010-03,test,SYN-OFFENDER-0010,synthetic
SYN-IN-0010-04,test,SYN-OFFENDER-0010,synthetic
SYN-IN-0010-05,test,SYN-OFFENDER-0010,synthetic
SYN-IN-0011-00,test,SYN-OFFENDER-0011,synthetic
SYN-IN-0011-01,test,SYN-OFFENDER-0011,synthetic
SYN-IN-0011-02,test,SYN-OFFENDER-0011,synthetic
SYN-IN-0011-03,test,SYN-OFFENDER-0011,synthetic
SYN-IN-0011-04,test,SYN-OFFENDER-0011,synthetic
SYN-IN-0011-05,test,SYN-OFFENDER-0011,synthetic
SYN-IN-0012-00,validation,SYN-OFFENDER-0012,synthetic
SYN-IN-0012-01,validation,SYN-OFFENDER-0012,synthetic
SYN-IN-0012-02,validation,SYN-OFFENDER-0012,synthetic
SYN-IN-0012-03,validation,SYN-OFFENDER-0012,synthetic
SYN-IN-0012-04,validation,SYN-OFFENDER-0012,synthetic
SYN-IN-0012-05,validation,SYN-OFFENDER-0012,synthetic
SYN-IN-0013-00,validation,SYN-OFFENDER-0013,synthetic
SYN-IN-0013-01,validation,SYN-OFFENDER-0013,synthetic
SYN-IN-0013-02,validation,SYN-OFFENDER-0013,synthetic
SYN-IN-0013-03,validation,SYN-OFFENDER-0013,synthetic
SYN-IN-0013-04,validation,SYN-OFFENDER-0013,synthetic
SYN-IN-0013-05,validation,SYN-OFFENDER-0013,synthetic
SYN-IN-0014-00,validation,SYN-OFFENDER-0014,synthetic
SYN-IN-0014-01,validation,SYN-OFFENDER-0014,synthetic
SYN-IN-0014-02,validation,SYN-OFFENDER-0014,synthetic
SYN-IN-0014-03,validation,SYN-OFFENDER-0014,synthetic
SYN-IN-0014-04,validation,SYN-OFFENDER-0014,synthetic
SYN-IN-0014-05,validation,SYN-OFFENDER-0014,synthetic
SYN-IN-0015-00,train,SYN-OFFENDER-0015,synthetic
SYN-IN-0015-01,train,SYN-OFFENDER-0015,synthetic
SYN-IN-0015-02,train,SYN-OFFENDER-0015,synthetic
SYN-IN-0015-03,train,SYN-OFFENDER-0015,synthetic
SYN-IN-0015-04,train,SYN-OFFENDER-0015,synthetic
SYN-IN-0015-05,train,SYN-OFFENDER-0015,synthetic
SYN-IN-0016-00,train,SYN-OFFENDER-0016,synthetic
SYN-IN-0016-01,train,SYN-OFFENDER-0016,synthetic
SYN-IN-0016-02,train,SYN-OFFENDER-0016,synthetic
SYN-IN-0016-03,train,SYN-OFFENDER-0016,synthetic
SYN-IN-0016-04,train,SYN-OFFENDER-0016,synthetic
SYN-IN-0016-05,train,SYN-OFFENDER-0016,synthetic
SYN-IN-0017-00,train,SYN-OFFENDER-0017,synthetic
SYN-IN-0017-01,train,SYN-OFFENDER-0017,synthetic
SYN-IN-0017-02,train,SYN-OFFENDER-0017,synthetic
SYN-IN-0017-03,train,SYN-OFFENDER-0017,synthetic
SYN-IN-0017-04,train,SYN-OFFENDER-0017,synthetic
SYN-IN-0017-05,train,SYN-OFFENDER-0017,synthetic
SYN-IN-0018-00,train,SYN-OFFENDER-0018,synthetic
SYN-IN-0018-01,train,SYN-OFFENDER-0018,synthetic
SYN-IN-0018-02,train,SYN-OFFENDER-0018,synthetic
SYN-IN-0018-03,train,SYN-OFFENDER-0018,synthetic
SYN-IN-0018-04,train,SYN-OFFENDER-0018,synthetic
SYN-IN-0018-05,train,SYN-OFFENDER-0018,synthetic
SYN-IN-0019-00,validation,SYN-OFFENDER-0019,synthetic
SYN-IN-0019-01,validation,SYN-OFFENDER-0019,synthetic
SYN-IN-0019-02,validation,SYN-OFFENDER-0019,synthetic
SYN-IN-0019-03,validation,SYN-OFFENDER-0019,synthetic
SYN-IN-0019-04,validation,SYN-OFFENDER-0019,synthetic
SYN-IN-0019-05,validation,SYN-OFFENDER-0019,synthetic
SYN-IN-0020-00,train,SYN-OFFENDER-0020,synthetic
SYN-IN-0020-01,train,SYN-OFFENDER-0020,synthetic
SYN-IN-0020-02,train,SYN-OFFENDER-0020,synthetic
SYN-IN-0020-03,train,SYN-OFFENDER-0020,synthetic
SYN-IN-0020-04,train,SYN-OFFENDER-0020,synthetic
SYN-IN-0020-05,train,SYN-OFFENDER-0020,synthetic
SYN-IN-0021-00,train,SYN-OFFENDER-0021,synthetic
SYN-IN-0021-01,train,SYN-OFFENDER-0021,synthetic
SYN-IN-0021-02,train,SYN-OFFENDER-0021,synthetic
SYN-IN-0021-03,train,SYN-OFFENDER-0021,synthetic
SYN-IN-0021-04,train,SYN-OFFENDER-0021,synthetic
SYN-IN-0021-05,train,SYN-OFFENDER-0021,synthetic
SYN-IN-0022-00,train,SYN-OFFENDER-0022,synthetic
SYN-IN-0022-01,train,SYN-OFFENDER-0022,synthetic
SYN-IN-0022-02,train,SYN-OFFENDER-0022,synthetic
SYN-IN-0022-03,train,SYN-OFFENDER-0022,synthetic
SYN-IN-0022-04,train,SYN-OFFENDER-0022,synthetic
SYN-IN-0022-05,train,SYN-OFFENDER-0022,synthetic
SYN-IN-0023-00,train,SYN-OFFENDER-0023,synthetic
SYN-IN-0023-01,train,SYN-OFFENDER-0023,synthetic
SYN-IN-0023-02,train,SYN-OFFENDER-0023,synthetic
SYN-IN-0023-03,train,SYN-OFFENDER-0023,synthetic
SYN-IN-0023-04,train,SYN-OFFENDER-0023,synthetic
SYN-IN-0023-05,train,SYN-OFFENDER-0023,synthetic
SYN-IN-0024-00,validation,SYN-OFFENDER-0024,synthetic
SYN-IN-0024-01,validation,SYN-OFFENDER-0024,synthetic
SYN-IN-0024-02,validation,SYN-OFFENDER-0024,synthetic
SYN-IN-0024-03,validation,SYN-OFFENDER-0024,synthetic
SYN-IN-0024-04,validation,SYN-OFFENDER-0024,synthetic
SYN-IN-0024-05,validation,SYN-OFFENDER-0024,synthetic
SYN-IN-0025-00,train,SYN-OFFENDER-0025,synthetic
SYN-IN-0025-01,train,SYN-OFFENDER-0025,synthetic
SYN-IN-0025-02,train,SYN-OFFENDER-0025,synthetic
SYN-IN-0025-03,train,SYN-OFFENDER-0025,synthetic
SYN-IN-0025-04,train,SYN-OFFENDER-0025,synthetic
SYN-IN-0025-05,train,SYN-OFFENDER-0025,synthetic
SYN-IN-0026-00,train,SYN-OFFENDER-0026,synthetic
SYN-IN-0026-01,train,SYN-OFFENDER-0026,synthetic
SYN-IN-0026-02,train,SYN-OFFENDER-0026,synthetic
SYN-IN-0026-03,train,SYN-OFFENDER-0026,synthetic
SYN-IN-0026-04,train,SYN-OFFENDER-0026,synthetic
SYN-IN-0026-05,train,SYN-OFFENDER-0026,synthetic
SYN-IN-0027-00,test,SYN-OFFENDER-0027,synthetic
SYN-IN-0027-01,test,SYN-OFFENDER-0027,synthetic
SYN-IN-0027-02,test,SYN-OFFENDER-0027,synthetic
SYN-IN-0027-03,test,SYN-OFFENDER-0027,synthetic
SYN-IN-0027-04,test,SYN-OFFENDER-0027,synthetic
SYN-IN-0027-05,test,SYN-OFFENDER-0027,synthetic
SYN-IN-0028-00,train,SYN-OFFENDER-0028,synthetic
SYN-IN-0028-01,train,SYN-OFFENDER-0028,synthetic
SYN-IN-0028-02,train,SYN-OFFENDER-0028,synthetic
SYN-IN-0028-03,train,SYN-OFFENDER-0028,synthetic
SYN-IN-0028-04,train,SYN-OFFENDER-0028,synthetic
SYN-IN-0028-05,train,SYN-OFFENDER-0028,synthetic
SYN-IN-0029-00,validation,SYN-OFFENDER-0029,synthetic
SYN-IN-0029-01,validation,SYN-OFFENDER-0029,synthetic
SYN-IN-0029-02,validation,SYN-OFFENDER-0029,synthetic
SYN-IN-0029-03,validation,SYN-OFFENDER-0029,synthetic
SYN-IN-0029-04,validation,SYN-OFFENDER-0029,synthetic
SYN-IN-0029-05,validation,SYN-OFFENDER-0029,synthetic
SYN-IN-0030-00,validation,SYN-OFFENDER-0030,synthetic
SYN-IN-0030-01,validation,SYN-OFFENDER-0030,synthetic
SYN-IN-0030-02,validation,SYN-OFFENDER-0030,synthetic
SYN-IN-0030-03,validation,SYN-OFFENDER-0030,synthetic
SYN-IN-0030-04,validation,SYN-OFFENDER-0030,synthetic
SYN-IN-0030-05,validation,SYN-OFFENDER-0030,synthetic
SYN-IN-0031-00,validation,SYN-OFFENDER-0031,synthetic
SYN-IN-0031-01,validation,SYN-OFFENDER-0031,synthetic
SYN-IN-0031-02,validation,SYN-OFFENDER-0031,synthetic
SYN-IN-0031-03,validation,SYN-OFFENDER-0031,synthetic
SYN-IN-0031-04,validation,SYN-OFFENDER-0031,synthetic
SYN-IN-0031-05,validation,SYN-OFFENDER-0031,synthetic
SYN-IN-0032-00,test,SYN-OFFENDER-0032,synthetic
SYN-IN-0032-01,test,SYN-OFFENDER-0032,synthetic
SYN-IN-0032-02,test,SYN-OFFENDER-0032,synthetic
SYN-IN-0032-03,test,SYN-OFFENDER-0032,synthetic
SYN-IN-0032-04,test,SYN-OFFENDER-0032,synthetic
SYN-IN-0032-05,test,SYN-OFFENDER-0032,synthetic
SYN-IN-0033-00,validation,SYN-OFFENDER-0033,synthetic
SYN-IN-0033-01,validation,SYN-OFFENDER-0033,synthetic
SYN-IN-0033-02,validation,SYN-OFFENDER-0033,synthetic
SYN-IN-0033-03,validation,SYN-OFFENDER-0033,synthetic
SYN-IN-0033-04,validation,SYN-OFFENDER-0033,synthetic
SYN-IN-0033-05,validation,SYN-OFFENDER-0033,synthetic
SYN-IN-0034-00,train,SYN-OFFENDER-0034,synthetic
SYN-IN-0034-01,train,SYN-OFFENDER-0034,synthetic
SYN-IN-0034-02,train,SYN-OFFENDER-0034,synthetic
SYN-IN-0034-03,train,SYN-OFFENDER-0034,synthetic
SYN-IN-0034-04,train,SYN-OFFENDER-0034,synthetic
SYN-IN-0034-05,train,SYN-OFFENDER-0034,synthetic
SYN-IN-0035-00,train,SYN-OFFENDER-0035,synthetic
SYN-IN-0035-01,train,SYN-OFFENDER-0035,synthetic
SYN-IN-0035-02,train,SYN-OFFENDER-0035,synthetic
SYN-IN-0035-03,train,SYN-OFFENDER-0035,synthetic
SYN-IN-0035-04,train,SYN-OFFENDER-0035,synthetic
SYN-IN-0035-05,train,SYN-OFFENDER-0035,synthetic
SYN-IN-0036-00,train,SYN-OFFENDER-0036,synthetic
SYN-IN-0036-01,train,SYN-OFFENDER-0036,synthetic
SYN-IN-0036-02,train,SYN-OFFENDER-0036,synthetic
SYN-IN-0036-03,train,SYN-OFFENDER-0036,synthetic
SYN-IN-0036-04,train,SYN-OFFENDER-0036,synthetic
SYN-IN-0036-05,train,SYN-OFFENDER-0036,synthetic
SYN-IN-0037-00,train,SYN-OFFENDER-0037,synthetic
SYN-IN-0037-01,train,SYN-OFFENDER-0037,synthetic
SYN-IN-0037-02,train,SYN-OFFENDER-0037,synthetic
SYN-IN-0037-03,train,SYN-OFFENDER-0037,synthetic
SYN-IN-0037-04,train,SYN-OFFENDER-0037,synthetic
SYN-IN-0037-05,train,SYN-OFFENDER-0037,synthetic
SYN-IN-0038-00,train,SYN-OFFENDER-0038,synthetic
SYN-IN-0038-01,train,SYN-OFFENDER-0038,synthetic
SYN-IN-0038-02,train,SYN-OFFENDER-0038,synthetic
SYN-IN-0038-03,train,SYN-OFFENDER-0038,synthetic
SYN-IN-0038-04,train,SYN-OFFENDER-0038,synthetic
SYN-IN-0038-05,train,SYN-OFFENDER-0038,synthetic
SYN-IN-0039-00,train,SYN-OFFENDER-0039,synthetic
SYN-IN-0039-01,train,SYN-OFFENDER-0039,synthetic
SYN-IN-0039-02,train,SYN-OFFENDER-0039,synthetic
SYN-IN-0039-03,train,SYN-OFFENDER-0039,synthetic
SYN-IN-0039-04,train,SYN-OFFENDER-0039,synthetic
SYN-IN-0039-05,train,SYN-OFFENDER-0039,synthetic
SYN-IN-0040-00,test,SYN-OFFENDER-0040,synthetic
SYN-IN-0040-01,test,SYN-OFFENDER-0040,synthetic
SYN-IN-0040-02,test,SYN-OFFENDER-0040,synthetic
SYN-IN-0040-03,test,SYN-OFFENDER-0040,synthetic
SYN-IN-0040-04,test,SYN-OFFENDER-0040,synthetic
SYN-IN-0040-05,test,SYN-OFFENDER-0040,synthetic
SYN-IN-0041-00,train,SYN-OFFENDER-0041,synthetic
SYN-IN-0041-01,train,SYN-OFFENDER-0041,synthetic
SYN-IN-0041-02,train,SYN-OFFENDER-0041,synthetic
SYN-IN-0041-03,train,SYN-OFFENDER-0041,synthetic
SYN-IN-0041-04,train,SYN-OFFENDER-0041,synthetic
SYN-IN-0041-05,train,SYN-OFFENDER-0041,synthetic
SYN-IN-0042-00,validation,SYN-OFFENDER-0042,synthetic
SYN-IN-0042-01,validation,SYN-OFFENDER-0042,synthetic
SYN-IN-0042-02,validation,SYN-OFFENDER-0042,synthetic
SYN-IN-0042-03,validation,SYN-OFFENDER-0042,synthetic
SYN-IN-0042-04,validation,SYN-OFFENDER-0042,synthetic
SYN-IN-0042-05,validation,SYN-OFFENDER-0042,synthetic
SYN-IN-0043-00,train,SYN-OFFENDER-0043,synthetic
SYN-IN-0043-01,train,SYN-OFFENDER-0043,synthetic
SYN-IN-0043-02,train,SYN-OFFENDER-0043,synthetic
SYN-IN-0043-03,train,SYN-OFFENDER-0043,synthetic
SYN-IN-0043-04,train,SYN-OFFENDER-0043,synthetic
SYN-IN-0043-05,train,SYN-OFFENDER-0043,synthetic
SYN-IN-0044-00,test,SYN-OFFENDER-0044,synthetic
SYN-IN-0044-01,test,SYN-OFFENDER-0044,synthetic
SYN-IN-0044-02,test,SYN-OFFENDER-0044,synthetic
SYN-IN-0044-03,test,SYN-OFFENDER-0044,synthetic
SYN-IN-0044-04,test,SYN-OFFENDER-0044,synthetic
SYN-IN-0044-05,test,SYN-OFFENDER-0044,synthetic
SYN-IN-0045-00,train,SYN-OFFENDER-0045,synthetic
SYN-IN-0045-01,train,SYN-OFFENDER-0045,synthetic
SYN-IN-0045-02,train,SYN-OFFENDER-0045,synthetic
SYN-IN-0045-03,train,SYN-OFFENDER-0045,synthetic
SYN-IN-0045-04,train,SYN-OFFENDER-0045,synthetic
SYN-IN-0045-05,train,SYN-OFFENDER-0045,synthetic
SYN-IN-0046-00,test,SYN-OFFENDER-0046,synthetic
SYN-IN-0046-01,test,SYN-OFFENDER-0046,synthetic
SYN-IN-0046-02,test,SYN-OFFENDER-0046,synthetic
SYN-IN-0046-03,test,SYN-OFFENDER-0046,synthetic
SYN-IN-0046-04,test,SYN-OFFENDER-0046,synthetic
SYN-IN-0046-05,test,SYN-OFFENDER-0046,synthetic
SYN-IN-0047-00,train,SYN-OFFENDER-0047,synthetic
SYN-IN-0047-01,train,SYN-OFFENDER-0047,synthetic
SYN-IN-0047-02,train,SYN-OFFENDER-0047,synthetic
SYN-IN-0047-03,train,SYN-OFFENDER-0047,synthetic
SYN-IN-0047-04,train,SYN-OFFENDER-0047,synthetic
SYN-IN-0047-05,train,SYN-OFFENDER-0047,synthetic
SYN-IN-0048-00,validation,SYN-OFFENDER-0048,synthetic
SYN-IN-0048-01,validation,SYN-OFFENDER-0048,synthetic
SYN-IN-0048-02,validation,SYN-OFFENDER-0048,synthetic
SYN-IN-0048-03,validation,SYN-OFFENDER-0048,synthetic
SYN-IN-0048-04,validation,SYN-OFFENDER-0048,synthetic
SYN-IN-0048-05,validation,SYN-OFFENDER-0048,synthetic
SYN-IN-0049-00,train,SYN-OFFENDER-0049,synthetic
SYN-IN-0049-01,train,SYN-OFFENDER-0049,synthetic
SYN-IN-0049-02,train,SYN-OFFENDER-0049,synthetic
SYN-IN-0049-03,train,SYN-OFFENDER-0049,synthetic
SYN-IN-0049-04,train,SYN-OFFENDER-0049,synthetic
SYN-IN-0049-05,train,SYN-OFFENDER-0049,synthetic
SYN-IN-0050-00,validation,SYN-OFFENDER-0050,synthetic
SYN-IN-0050-01,validation,SYN-OFFENDER-0050,synthetic
SYN-IN-0050-02,validation,SYN-OFFENDER-0050,synthetic
SYN-IN-0050-03,validation,SYN-OFFENDER-0050,synthetic
SYN-IN-0050-04,validation,SYN-OFFENDER-0050,synthetic
SYN-IN-0050-05,validation,SYN-OFFENDER-0050,synthetic
SYN-IN-0051-00,train,SYN-OFFENDER-0051,synthetic
SYN-IN-0051-01,train,SYN-OFFENDER-0051,synthetic
SYN-IN-0051-02,train,SYN-OFFENDER-0051,synthetic
SYN-IN-0051-03,train,SYN-OFFENDER-0051,synthetic
SYN-IN-0051-04,train,SYN-OFFENDER-0051,synthetic
SYN-IN-0051-05,train,SYN-OFFENDER-0051,synthetic
SYN-IN-0052-00,train,SYN-OFFENDER-0052,synthetic
SYN-IN-0052-01,train,SYN-OFFENDER-0052,synthetic
SYN-IN-0052-02,train,SYN-OFFENDER-0052,synthetic
SYN-IN-0052-03,train,SYN-OFFENDER-0052,synthetic
SYN-IN-0052-04,train,SYN-OFFENDER-0052,synthetic
SYN-IN-0052-05,train,SYN-OFFENDER-0052,synthetic
SYN-IN-0053-00,train,SYN-OFFENDER-0053,synthetic
SYN-IN-0053-01,train,SYN-OFFENDER-0053,synthetic
SYN-IN-0053-02,train,SYN-OFFENDER-0053,synthetic
SYN-IN-0053-03,train,SYN-OFFENDER-0053,synthetic
SYN-IN-0053-04,train,SYN-OFFENDER-0053,synthetic
SYN-IN-0053-05,train,SYN-OFFENDER-0053,synthetic
SYN-IN-0054-00,train,SYN-OFFENDER-0054,synthetic
SYN-IN-0054-01,train,SYN-OFFENDER-0054,synthetic
SYN-IN-0054-02,train,SYN-OFFENDER-0054,synthetic
SYN-IN-0054-03,train,SYN-OFFENDER-0054,synthetic
SYN-IN-0054-04,train,SYN-OFFENDER-0054,synthetic
SYN-IN-0054-05,train,SYN-OFFENDER-0054,synthetic
SYN-IN-0055-00,validation,SYN-OFFENDER-0055,synthetic
SYN-IN-0055-01,validation,SYN-OFFENDER-0055,synthetic
SYN-IN-0055-02,validation,SYN-OFFENDER-0055,synthetic
SYN-IN-0055-03,validation,SYN-OFFENDER-0055,synthetic
SYN-IN-0055-04,validation,SYN-OFFENDER-0055,synthetic
SYN-IN-0055-05,validation,SYN-OFFENDER-0055,synthetic
SYN-IN-0056-00,validation,SYN-OFFENDER-0056,synthetic
SYN-IN-0056-01,validation,SYN-OFFENDER-0056,synthetic
SYN-IN-0056-02,validation,SYN-OFFENDER-0056,synthetic
SYN-IN-0056-03,validation,SYN-OFFENDER-0056,synthetic
SYN-IN-0056-04,validation,SYN-OFFENDER-0056,synthetic
SYN-IN-0056-05,validation,SYN-OFFENDER-0056,synthetic
SYN-IN-0057-00,train,SYN-OFFENDER-0057,synthetic
SYN-IN-0057-01,train,SYN-OFFENDER-0057,synthetic
SYN-IN-0057-02,train,SYN-OFFENDER-0057,synthetic
SYN-IN-0057-03,train,SYN-OFFENDER-0057,synthetic
SYN-IN-0057-04,train,SYN-OFFENDER-0057,synthetic
SYN-IN-0057-05,train,SYN-OFFENDER-0057,synthetic
SYN-IN-0058-00,train,SYN-OFFENDER-0058,synthetic
SYN-IN-0058-01,train,SYN-OFFENDER-0058,synthetic
SYN-IN-0058-02,train,SYN-OFFENDER-0058,synthetic
SYN-IN-0058-03,train,SYN-OFFENDER-0058,synthetic
SYN-IN-0058-04,train,SYN-OFFENDER-0058,synthetic
SYN-IN-0058-05,train,SYN-OFFENDER-0058,synthetic
SYN-IN-0059-00,train,SYN-OFFENDER-0059,synthetic
SYN-IN-0059-01,train,SYN-OFFENDER-0059,synthetic
SYN-IN-0059-02,train,SYN-OFFENDER-0059,synthetic
SYN-IN-0059-03,train,SYN-OFFENDER-0059,synthetic
SYN-IN-0059-04,train,SYN-OFFENDER-0059,synthetic
SYN-IN-0059-05,train,SYN-OFFENDER-0059,synthetic
SYN-IN-0060-00,train,SYN-OFFENDER-0060,synthetic
SYN-IN-0060-01,train,SYN-OFFENDER-0060,synthetic
SYN-IN-0060-02,train,SYN-OFFENDER-0060,synthetic
SYN-IN-0060-03,train,SYN-OFFENDER-0060,synthetic
SYN-IN-0060-04,train,SYN-OFFENDER-0060,synthetic
SYN-IN-0060-05,train,SYN-OFFENDER-0060,synthetic
SYN-IN-0061-00,test,SYN-OFFENDER-0061,synthetic
SYN-IN-0061-01,test,SYN-OFFENDER-0061,synthetic
SYN-IN-0061-02,test,SYN-OFFENDER-0061,synthetic
SYN-IN-0061-03,test,SYN-OFFENDER-0061,synthetic
SYN-IN-0061-04,test,SYN-OFFENDER-0061,synthetic
SYN-IN-0061-05,test,SYN-OFFENDER-0061,synthetic
SYN-IN-0062-00,test,SYN-OFFENDER-0062,synthetic
SYN-IN-0062-01,test,SYN-OFFENDER-0062,synthetic
SYN-IN-0062-02,test,SYN-OFFENDER-0062,synthetic
SYN-IN-0062-03,test,SYN-OFFENDER-0062,synthetic
SYN-IN-0062-04,test,SYN-OFFENDER-0062,synthetic
SYN-IN-0062-05,test,SYN-OFFENDER-0062,synthetic
SYN-IN-0063-00,test,SYN-OFFENDER-0063,synthetic
SYN-IN-0063-01,test,SYN-OFFENDER-0063,synthetic
SYN-IN-0063-02,test,SYN-OFFENDER-0063,synthetic
SYN-IN-0063-03,test,SYN-OFFENDER-0063,synthetic
SYN-IN-0063-04,test,SYN-OFFENDER-0063,synthetic
SYN-IN-0063-05,test,SYN-OFFENDER-0063,synthetic
SYN-IN-0064-00,train,SYN-OFFENDER-0064,synthetic
SYN-IN-0064-01,train,SYN-OFFENDER-0064,synthetic
SYN-IN-0064-02,train,SYN-OFFENDER-0064,synthetic
SYN-IN-0064-03,train,SYN-OFFENDER-0064,synthetic
SYN-IN-0064-04,train,SYN-OFFENDER-0064,synthetic
SYN-IN-0064-05,train,SYN-OFFENDER-0064,synthetic
SYN-IN-0065-00,train,SYN-OFFENDER-0065,synthetic
SYN-IN-0065-01,train,SYN-OFFENDER-0065,synthetic
SYN-IN-0065-02,train,SYN-OFFENDER-0065,synthetic
SYN-IN-0065-03,train,SYN-OFFENDER-0065,synthetic
SYN-IN-0065-04,train,SYN-OFFENDER-0065,synthetic
SYN-IN-0065-05,train,SYN-OFFENDER-0065,synthetic
SYN-IN-0066-00,validation,SYN-OFFENDER-0066,synthetic
SYN-IN-0066-01,validation,SYN-OFFENDER-0066,synthetic
SYN-IN-0066-02,validation,SYN-OFFENDER-0066,synthetic
SYN-IN-0066-03,validation,SYN-OFFENDER-0066,synthetic
SYN-IN-0066-04,validation,SYN-OFFENDER-0066,synthetic
SYN-IN-0066-05,validation,SYN-OFFENDER-0066,synthetic
SYN-IN-0067-00,train,SYN-OFFENDER-0067,synthetic
SYN-IN-0067-01,train,SYN-OFFENDER-0067,synthetic
SYN-IN-0067-02,train,SYN-OFFENDER-0067,synthetic
SYN-IN-0067-03,train,SYN-OFFENDER-0067,synthetic
SYN-IN-0067-04,train,SYN-OFFENDER-0067,synthetic
SYN-IN-0067-05,train,SYN-OFFENDER-0067,synthetic
SYN-IN-0068-00,test,SYN-OFFENDER-0068,synthetic
SYN-IN-0068-01,test,SYN-OFFENDER-0068,synthetic
SYN-IN-0068-02,test,SYN-OFFENDER-0068,synthetic
SYN-IN-0068-03,test,SYN-OFFENDER-0068,synthetic
SYN-IN-0068-04,test,SYN-OFFENDER-0068,synthetic
SYN-IN-0068-05,test,SYN-OFFENDER-0068,synthetic
SYN-IN-0069-00,train,SYN-OFFENDER-0069,synthetic
SYN-IN-0069-01,train,SYN-OFFENDER-0069,synthetic
SYN-IN-0069-02,train,SYN-OFFENDER-0069,synthetic
SYN-IN-0069-03,train,SYN-OFFENDER-0069,synthetic
SYN-IN-0069-04,train,SYN-OFFENDER-0069,synthetic
